,exist,x,y,width,height,Raw data ID,copyrighter,resolution,date,breed,age,gender,region,camera type,species,lesions,diagnosis,Path,identifier,src_path,label_path,type,fileformat,inspRejectYn
0,Y,782,379,201,171,IMG_D_A6_495860.jpg,㈜미소정보기술,1920X1080,2021-11-16,시츄,10,F,A,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
1,Y,951,13,352,506,IMG_D_A6_495862.jpg,㈜미소정보기술,1920X1080,2021-11-15,말티즈,1,M,B,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
2,Y,759,663,155,131,IMG_D_A6_495868.jpg,㈜미소정보기술,1920X1080,2021-11-01,말티즈,10,F,B,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
3,Y,148,294,256,206,IMG_D_A6_495871.jpg,㈜미소정보기술,1920X1080,2021-11-18,말티즈,10,F,A,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
4,Y,1054,346,170,181,IMG_D_A6_495873.jpg,㈜미소정보기술,1920X1080,2021-10-16,몽그렐,10,M,L,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
5,Y,623,229,276,192,IMG_D_A6_495893.jpg,㈜미소정보기술,1920X1080,2021-11-16,말티즈,10,F,A,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
6,Y,556,247,762,418,IMG_D_A6_495895.jpg,㈜미소정보기술,1920X1080,2021-11-19,포메라니안,10,M,L,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
7,Y,1133,263,584,380,IMG_D_A6_495896.jpg,㈜미소정보기술,1920X1080,2021-11-20,포메라니안,11,M,A,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
8,Y,1066,329,594,350,IMG_D_A6_495897.jpg,㈜미소정보기술,1920X1080,2021-11-03,장모치와와,1,F,A,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
9,Y,973,306,275,202,IMG_D_A6_495907.jpg,㈜미소정보기술,1920X1080,2021-11-19,말티즈,11,M,A,IMG,D,A6,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,/라벨링데이터/반려견/피부/일반카메라/유증상/A6_결절_종괴,json,jpg,N
