,exist,x,y,width,height,Raw data ID,copyrighter,resolution,date,breed,age,gender,region,camera type,species,lesions,diagnosis,Path,identifier,src_path,label_path,type,fileformat,inspRejectYn
0,Y,430,324,265,87,IMG_D_A2_054419.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,5,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
1,Y,967,456,186,69,IMG_D_A2_054420.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
2,Y,1039,424,152,126,IMG_D_A2_054421.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
3,Y,1128,401,174,135,IMG_D_A2_054422.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
4,Y,901,340,111,97,IMG_D_A2_054425.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
5,Y,702,223,652,472,IMG_D_A2_054426.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,H,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
6,Y,247,44,1243,951,IMG_D_A2_054427.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,B,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
7,Y,983,323,340,488,IMG_D_A2_054428.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,B,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
8,Y,226,303,1098,517,IMG_D_A2_054429.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,B,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
9,Y,661,329,416,416,IMG_D_A2_054430.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,B,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
10,Y,413,460,1026,274,IMG_D_A2_054431.jpg,㈜미소정보기술,1920X1080,2021-11-02,포메라니안,6,F,B,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
11,Y,1060,352,131,84,IMG_D_A2_054432.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,1,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
12,Y,1147,427,197,352,IMG_D_A2_054433.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,1,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
13,Y,847,262,641,726,IMG_D_A2_054434.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,1,F,A,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
14,Y,852,387,128,336,IMG_D_A2_054435.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,3,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
15,Y,1206,630,119,72,IMG_D_A2_054436.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,3,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
16,Y,1000,587,146,81,IMG_D_A2_054437.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,3,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
17,Y,979,569,204,177,IMG_D_A2_054438.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,3,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
18,Y,845,253,137,83,IMG_D_A2_054439.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,3,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
19,Y,873,138,89,67,IMG_D_A2_054440.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,3,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
20,Y,1122,311,166,90,IMG_D_A2_054441.jpg,㈜미소정보기술,1920X1080,2021-11-02,푸들,3,F,L,IMG,D,A2,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,/라벨링데이터/반려견/피부/일반카메라/유증상/A2_비듬_각질_상피성잔고리,json,jpg,N
